game_id,season,game_type,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,home_spread_odds,away_spread_odds,over_odds,under_odds,home_rest,away_rest,stadium,roof,surface,temp,wind
2021_01_DAL_TB,2021,REG,1,2021-09-09,20:20,TB,DAL,31.0,29.0,2.0,60.0,10.0,52.5,-425.0,351.0,110.0,-121.0,-103.0,-108.0,7,7,Raymond James Stadium,outdoors,grass ,82.0,9.0
2021_01_PHI_ATL,2021,REG,1,2021-09-12,13:00,ATL,PHI,6.0,32.0,-26.0,38.0,3.5,49.0,-180.0,161.0,-101.0,-109.0,-103.0,-108.0,7,7,Mercedes-Benz Stadium,open,fieldturf,,
2021_01_PIT_BUF,2021,REG,1,2021-09-12,13:00,BUF,PIT,16.0,23.0,-7.0,39.0,6.5,48.0,-267.0,232.0,-100.0,-110.0,103.0,-114.0,7,7,New Era Field,outdoors,a_turf,73.0,17.0
2021_01_NYJ_CAR,2021,REG,1,2021-09-12,13:00,CAR,NYJ,19.0,14.0,5.0,33.0,3.5,44.5,-184.0,164.0,-102.0,-108.0,-104.0,-107.0,7,7,Bank of America Stadium,outdoors,grass ,81.0,0.0
2021_01_MIN_CIN,2021,REG,1,2021-09-12,13:00,CIN,MIN,27.0,24.0,3.0,51.0,-3.0,47.0,122.0,-135.0,-120.0,109.0,-114.0,102.0,7,7,Paul Brown Stadium,outdoors,fieldturf,81.0,15.0
2021_01_SF_DET,2021,REG,1,2021-09-12,13:00,DET,SF,33.0,41.0,-8.0,74.0,-9.5,46.0,344.0,-415.0,-105.0,-105.0,-108.0,-103.0,7,7,Ford Field,dome,fieldturf,,
2021_01_JAX_HOU,2021,REG,1,2021-09-12,13:00,HOU,JAX,37.0,21.0,16.0,58.0,-3.5,45.5,154.0,-172.0,-113.0,103.0,-104.0,-107.0,7,7,NRG Stadium,closed,astroturf,,
2021_01_SEA_IND,2021,REG,1,2021-09-12,13:00,IND,SEA,16.0,28.0,-12.0,44.0,-3.0,49.0,132.0,-146.0,-117.0,106.0,-106.0,-105.0,7,7,Lucas Oil Stadium,closed,fieldturf,,
2021_01_ARI_TEN,2021,REG,1,2021-09-12,13:00,TEN,ARI,13.0,38.0,-25.0,51.0,2.5,54.0,-146.0,131.0,-116.0,105.0,-108.0,-103.0,7,7,Nissan Stadium,outdoors,grass ,82.0,8.0
2021_01_LAC_WAS,2021,REG,1,2021-09-12,13:00,WAS,LAC,16.0,20.0,-4.0,36.0,2.5,45.5,-129.0,117.0,-101.0,-109.0,103.0,-115.0,7,7,FedExField,outdoors,grass ,81.0,4.0
2021_01_CLE_KC,2021,REG,1,2021-09-12,16:25,KC,CLE,33.0,29.0,4.0,62.0,5.5,54.5,-241.0,211.0,-110.0,-101.0,-105.0,-107.0,7,7,GEHA Field at Arrowhead Stadium,outdoors,grass ,88.0,8.0
2021_01_MIA_NE,2021,REG,1,2021-09-12,16:25,NE,MIA,16.0,17.0,-1.0,33.0,3.5,43.5,-173.0,155.0,102.0,-113.0,103.0,-114.0,7,7,Gillette Stadium,outdoors,fieldturf,81.0,15.0
2021_01_GB_NO,2021,REG,1,2021-09-12,16:25,NO,GB,38.0,3.0,35.0,41.0,-4.0,49.0,162.0,-181.0,-114.0,103.0,-102.0,-110.0,7,7,TIAA Bank Stadium,outdoors,grass ,86.0,9.0
2021_01_DEN_NYG,2021,REG,1,2021-09-12,16:25,NYG,DEN,13.0,27.0,-14.0,40.0,-3.0,41.5,125.0,-139.0,-120.0,109.0,-106.0,-105.0,7,7,MetLife Stadium,outdoors,fieldturf,82.0,19.0
2021_01_CHI_LA,2021,REG,1,2021-09-12,20:20,LA,CHI,34.0,14.0,20.0,48.0,9.5,46.0,-387.0,324.0,-102.0,-108.0,-104.0,-107.0,7,7,SoFi Stadium,dome,matrixturf,,
2021_01_BAL_LV,2021,REG,1,2021-09-13,20:15,LV,BAL,33.0,27.0,6.0,60.0,-3.0,50.5,149.0,-167.0,105.0,-116.0,-100.0,-111.0,7,7,Allegiant Stadium,dome,grass,,
2021_02_NYG_WAS,2021,REG,2,2021-09-16,20:20,WAS,NYG,30.0,29.0,1.0,59.0,4.0,42.0,-198.0,176.0,-107.0,-103.0,100.0,-112.0,4,4,FedExField,outdoors,grass ,71.0,0.0
2021_02_NO_CAR,2021,REG,2,2021-09-19,13:00,CAR,NO,26.0,7.0,19.0,33.0,-3.0,45.0,131.0,-145.0,-113.0,102.0,-105.0,-106.0,7,7,Bank of America Stadium,outdoors,grass ,83.0,4.0
2021_02_CIN_CHI,2021,REG,2,2021-09-19,13:00,CHI,CIN,20.0,17.0,3.0,37.0,2.0,44.5,-126.0,114.0,-105.0,-105.0,-104.0,-107.0,7,7,Soldier Field,outdoors,grass ,80.0,0.0
2021_02_HOU_CLE,2021,REG,2,2021-09-19,13:00,CLE,HOU,31.0,21.0,10.0,52.0,13.5,48.5,-675.0,521.0,-107.0,-103.0,-115.0,103.0,7,7,FirstEnergy Stadium,outdoors,grass ,75.0,12.0
2021_02_LA_IND,2021,REG,2,2021-09-19,13:00,IND,LA,24.0,27.0,-3.0,51.0,-4.0,48.0,182.0,-205.0,-100.0,-110.0,103.0,-115.0,7,7,Lucas Oil Stadium,closed,fieldturf,,
2021_02_DEN_JAX,2021,REG,2,2021-09-19,13:00,JAX,DEN,13.0,23.0,-10.0,36.0,-6.0,45.0,211.0,-241.0,-115.0,104.0,-104.0,-107.0,7,7,TIAA Bank Stadium,outdoors,grass ,80.0,7.0
2021_02_BUF_MIA,2021,REG,2,2021-09-19,13:00,MIA,BUF,0.0,35.0,-35.0,35.0,-3.5,48.0,160.0,-179.0,-113.0,103.0,-109.0,-103.0,7,7,Hard Rock Stadium,outdoors,grass ,89.0,7.0
2021_02_NE_NYJ,2021,REG,2,2021-09-19,13:00,NYJ,NE,6.0,25.0,-19.0,31.0,-5.5,43.0,207.0,-235.0,-105.0,-105.0,-113.0,102.0,7,7,MetLife Stadium,outdoors,fieldturf,72.0,13.0
2021_02_SF_PHI,2021,REG,2,2021-09-19,13:00,PHI,SF,11.0,17.0,-6.0,28.0,-3.0,49.0,130.0,-144.0,-115.0,104.0,-102.0,-109.0,7,7,Lincoln Financial Field,outdoors,grass ,76.0,13.0
2021_02_LV_PIT,2021,REG,2,2021-09-19,13:00,PIT,LV,17.0,26.0,-9.0,43.0,5.5,46.5,-228.0,201.0,-102.0,-109.0,-116.0,104.0,7,6,Heinz Field,outdoors,grass ,77.0,4.0
2021_02_MIN_ARI,2021,REG,2,2021-09-19,16:05,ARI,MIN,34.0,33.0,1.0,67.0,4.0,51.0,-191.0,170.0,101.0,-111.0,-101.0,-111.0,7,7,State Farm Stadium,closed,grass ,,
2021_02_ATL_TB,2021,REG,2,2021-09-19,16:05,TB,ATL,48.0,25.0,23.0,73.0,13.5,52.0,-772.0,582.0,-102.0,-108.0,-108.0,-103.0,10,7,Raymond James Stadium,outdoors,grass ,85.0,0.0
2021_02_DAL_LAC,2021,REG,2,2021-09-19,16:25,LAC,DAL,17.0,20.0,-3.0,37.0,3.0,55.0,-150.0,135.0,-101.0,-109.0,-110.0,-101.0,7,10,SoFi Stadium,dome,matrixturf,,
2021_02_TEN_SEA,2021,REG,2,2021-09-19,16:25,SEA,TEN,30.0,33.0,-3.0,63.0,6.5,53.5,-286.0,247.0,-110.0,-100.0,-109.0,-102.0,7,7,Lumen Field,outdoors,fieldturf,62.0,14.0
2021_02_KC_BAL,2021,REG,2,2021-09-19,20:20,BAL,KC,36.0,35.0,1.0,71.0,-3.5,53.5,153.0,-171.0,-118.0,107.0,-101.0,-110.0,6,7,M&T Bank Stadium,outdoors,grass,82.0,8.0
2021_02_DET_GB,2021,REG,2,2021-09-20,20:15,GB,DET,35.0,17.0,18.0,52.0,11.5,49.5,-494.0,400.0,102.0,-112.0,-110.0,-101.0,8,8,Lambeau Field,outdoors,grass ,73.0,12.0
