player_id,player_name,recent_team,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa
00-0019596,T.Brady,TB,2022,1,18,27,212.0,1,1.0,2.0,17.0,305.0,87.0,9.0,1.0508536
00-0019596,T.Brady,TB,2022,2,18,34,190.0,1,0.0,1.0,2.0,314.0,85.0,8.0,2.428707
00-0019596,T.Brady,TB,2022,3,31,42,271.0,1,0.0,3.0,20.0,236.0,124.0,15.0,1.0767493
00-0019596,T.Brady,TB,2022,4,39,52,385.0,3,0.0,1.0,12.0,326.0,205.0,23.0,9.511334
00-0019596,T.Brady,TB,2022,5,35,52,351.0,1,0.0,0.0,-0.0,362.0,178.0,17.0,12.98959
00-0019596,T.Brady,TB,2022,6,25,40,243.0,1,0.0,2.0,14.0,302.0,87.0,11.0,8.719791
00-0019596,T.Brady,TB,2022,7,32,49,290.0,0,0.0,1.0,14.0,359.0,134.0,14.0,-2.3755324
00-0019596,T.Brady,TB,2022,8,26,44,325.0,1,0.0,3.0,20.0,288.0,177.0,13.0,4.882812
00-0019596,T.Brady,TB,2022,9,36,58,280.0,1,0.0,1.0,8.0,271.0,127.0,15.0,-4.8830423
00-0019596,T.Brady,TB,2022,10,22,29,258.0,2,1.0,0.0,-0.0,248.0,92.0,15.0,15.308453
00-0019596,T.Brady,TB,2022,12,29,43,246.0,2,0.0,3.0,17.0,391.0,151.0,9.0,-1.7076085
00-0019596,T.Brady,TB,2022,13,36,54,281.0,2,1.0,1.0,7.0,307.0,150.0,19.0,0.43490684
00-0019596,T.Brady,TB,2022,14,34,55,253.0,1,2.0,0.0,-0.0,355.0,108.0,14.0,-9.466742
00-0019596,T.Brady,TB,2022,15,30,44,312.0,3,2.0,1.0,8.0,314.0,125.0,18.0,5.4680576
00-0019596,T.Brady,TB,2022,16,32,48,281.0,1,2.0,0.0,-0.0,227.0,222.0,15.0,-1.8559757
00-0019596,T.Brady,TB,2022,17,34,45,432.0,3,0.0,3.0,21.0,352.0,185.0,17.0,17.324783
00-0019596,T.Brady,TB,2022,18,13,17,84.0,1,0.0,0.0,-0.0,70.0,55.0,5.0,2.9991336
00-0019596,T.Brady,TB,2022,19,35,66,351.0,2,1.0,2.0,17.0,360.0,192.0,20.0,-3.684787
00-0022824,A.Lee,ARI,2022,16,1,1,4.0,0,0.0,0.0,-0.0,0.0,4.0,1.0,2.864477
00-0023459,A.Rodgers,GB,2022,1,22,34,195.0,0,1.0,4.0,33.0,190.0,134.0,9.0,-11.627544
00-0023459,A.Rodgers,GB,2022,2,19,25,234.0,2,0.0,3.0,23.0,139.0,130.0,10.0,11.532071
00-0023459,A.Rodgers,GB,2022,3,27,35,255.0,2,1.0,1.0,7.0,177.0,178.0,11.0,4.507948
00-0023459,A.Rodgers,GB,2022,4,21,35,251.0,2,1.0,1.0,7.0,357.0,123.0,12.0,0.4257562
00-0023459,A.Rodgers,GB,2022,5,25,39,222.0,2,0.0,2.0,15.0,291.0,150.0,15.0,2.8204906
00-0023459,A.Rodgers,GB,2022,6,26,41,246.0,1,0.0,4.0,36.0,354.0,100.0,9.0,-13.293249
00-0023459,A.Rodgers,GB,2022,7,23,35,194.0,2,0.0,0.0,-0.0,189.0,117.0,10.0,-2.8398337
00-0023459,A.Rodgers,GB,2022,8,19,30,203.0,2,1.0,2.0,13.0,236.0,102.0,8.0,-1.4000275
00-0023459,A.Rodgers,GB,2022,9,23,43,291.0,1,3.0,1.0,8.0,429.0,109.0,11.0,-12.59564
00-0023459,A.Rodgers,GB,2022,10,14,20,224.0,3,0.0,2.0,16.0,226.0,90.0,8.0,6.8773236
00-0023459,A.Rodgers,GB,2022,11,24,39,227.0,2,0.0,1.0,12.0,350.0,90.0,11.0,1.6570836
00-0023459,A.Rodgers,GB,2022,12,11,16,140.0,2,2.0,3.0,17.0,90.0,84.0,8.0,0.24754998
00-0023459,A.Rodgers,GB,2022,13,18,31,182.0,1,0.0,0.0,-0.0,324.0,92.0,11.0,3.5329647
00-0023459,A.Rodgers,GB,2022,15,22,30,229.0,1,1.0,3.0,22.0,144.0,142.0,15.0,1.0240986
00-0023459,A.Rodgers,GB,2022,16,24,38,238.0,1,1.0,2.0,16.0,329.0,99.0,11.0,2.1155965
00-0023459,A.Rodgers,GB,2022,17,15,24,159.0,1,0.0,1.0,16.0,260.0,67.0,9.0,1.9633452
00-0023459,A.Rodgers,GB,2022,18,17,27,205.0,1,1.0,2.0,17.0,242.0,86.0,9.0,-1.2578778
00-0024243,M.Lewis,GB,2022,5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0024243,M.Lewis,GB,2022,9,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0024243,M.Lewis,GB,2022,10,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0024243,M.Lewis,GB,2022,13,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0024243,M.Lewis,GB,2022,15,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0024243,M.Lewis,GB,2022,16,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026143,M.Ryan,IND,2022,1,32,50,352.0,1,1.0,2.0,12.0,313.0,176.0,20.0,3.0047843
00-0026143,M.Ryan,IND,2022,2,16,30,195.0,0,3.0,5.0,31.0,256.0,64.0,6.0,-20.349194
00-0026143,M.Ryan,IND,2022,3,27,37,222.0,2,0.0,5.0,45.0,178.0,103.0,12.0,-4.035991
00-0026143,M.Ryan,IND,2022,4,27,37,356.0,2,1.0,3.0,29.0,236.0,151.0,17.0,8.75145
00-0026143,M.Ryan,IND,2022,5,26,41,251.0,0,2.0,6.0,51.0,260.0,113.0,14.0,-11.321442
00-0026143,M.Ryan,IND,2022,6,42,58,389.0,3,0.0,0.0,-0.0,299.0,209.0,22.0,17.657375
00-0026143,M.Ryan,IND,2022,7,33,44,243.0,1,2.0,3.0,16.0,177.0,119.0,12.0,-9.110603
00-0026143,M.Ryan,IND,2022,10,21,28,222.0,1,0.0,1.0,14.0,172.0,114.0,10.0,9.340534
00-0026143,M.Ryan,IND,2022,11,23,32,213.0,0,0.0,4.0,28.0,194.0,104.0,9.0,-3.3371522
00-0026143,M.Ryan,IND,2022,12,22,34,199.0,1,1.0,3.0,19.0,214.0,72.0,11.0,-5.0692787
00-0026143,M.Ryan,IND,2022,13,21,37,233.0,2,3.0,3.0,30.0,218.0,100.0,12.0,-8.118598
00-0026143,M.Ryan,IND,2022,15,19,33,182.0,1,0.0,3.0,12.0,255.0,80.0,11.0,-2.1718905
00-0026158,J.Flacco,NYJ,2022,1,37,59,309.0,1,1.0,3.0,12.0,286.0,139.0,18.0,-7.1129165
00-0026158,J.Flacco,NYJ,2022,2,26,44,307.0,4,0.0,2.0,15.0,417.0,122.0,15.0,12.344181
00-0026158,J.Flacco,NYJ,2022,3,28,52,285.0,0,2.0,4.0,33.0,524.0,120.0,13.0,-23.438705
00-0026158,J.Flacco,NYJ,2022,14,1,3,1.0,0,0.0,1.0,6.0,30.0,2.0,0.0,-7.2179537
00-0026158,J.Flacco,NYJ,2022,18,18,33,149.0,0,0.0,0.0,-0.0,280.0,49.0,9.0,0.06368996
00-0026189,D.Jackson,BAL,2022,9,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,12,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,13,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,14,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,15,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,16,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026189,D.Jackson,BAL,2022,17,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026197,C.Henne,KC,2022,7,0,2,0.0,0,0.0,0.0,-0.0,-4.0,0.0,0.0,-1.8915138
00-0026197,C.Henne,KC,2022,18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0026197,C.Henne,KC,2022,20,5,7,23.0,1,0.0,0.0,-0.0,32.0,12.0,3.0,2.706952
00-0026300,J.Johnson,SF,2022,14,1,2,10.0,0,0.0,0.0,-0.0,2.0,4.0,1.0,-0.8358491
00-0026300,J.Johnson,SF,2022,21,7,13,74.0,0,0.0,2.0,14.0,67.0,52.0,3.0,-2.025567
00-0026498,M.Stafford,LA,2022,1,29,41,240.0,1,3.0,7.0,49.0,239.0,124.0,14.0,-16.745453
00-0026498,M.Stafford,LA,2022,2,27,36,272.0,3,2.0,1.0,-0.0,249.0,122.0,16.0,6.490207
00-0026498,M.Stafford,LA,2022,3,18,25,249.0,0,0.0,1.0,10.0,220.0,180.0,10.0,10.104671
00-0026498,M.Stafford,LA,2022,4,32,48,254.0,0,1.0,7.0,54.0,253.0,130.0,16.0,-12.835559
00-0026498,M.Stafford,LA,2022,5,28,42,308.0,1,1.0,5.0,35.0,322.0,172.0,9.0,-14.383166
00-0026498,M.Stafford,LA,2022,6,26,33,253.0,1,1.0,1.0,4.0,146.0,153.0,16.0,3.050175
00-0026498,M.Stafford,LA,2022,8,22,33,187.0,1,0.0,2.0,20.0,138.0,99.0,11.0,0.43298313
00-0026498,M.Stafford,LA,2022,9,13,27,165.0,1,0.0,4.0,27.0,242.0,97.0,6.0,-4.6822386
00-0026498,M.Stafford,LA,2022,11,11,18,159.0,2,0.0,1.0,9.0,218.0,42.0,7.0,4.5310335
00-0026544,C.Daniel,LAC,2022,10,0,2,0.0,0,0.0,1.0,1.0,-10.0,0.0,0.0,-1.2977716
00-0026544,C.Daniel,LAC,2022,17,3,3,27.0,0,0.0,0.0,-0.0,-17.0,44.0,1.0,1.368227
00-0026544,C.Daniel,LAC,2022,18,5,7,25.0,1,0.0,0.0,-0.0,44.0,19.0,3.0,1.3055855
00-0026625,B.Hoyer,NE,2022,4,5,6,37.0,0,0.0,1.0,8.0,28.0,22.0,2.0,-2.126524
00-0027688,C.McCoy,ARI,2022,10,26,37,238.0,1,0.0,2.0,18.0,208.0,94.0,11.0,2.8018472
00-0027688,C.McCoy,ARI,2022,11,24,34,218.0,0,1.0,3.0,30.0,167.0,123.0,8.0,-4.4206853
00-0027688,C.McCoy,ARI,2022,14,27,40,246.0,0,1.0,6.0,45.0,301.0,116.0,11.0,-20.419024
00-0027688,C.McCoy,ARI,2022,15,13,21,78.0,0,1.0,2.0,4.0,125.0,35.0,4.0,-8.046119
00-0027942,A.Green,ARI,2022,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,6,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,10,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,11,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,12,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,14,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,15,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,17,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027942,A.Green,ARI,2022,18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,9,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,10,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,12,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,13,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,14,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,16,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,17,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027944,J.Jones,TB,2022,19,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027948,B.Gabbert,TB,2022,18,6,8,29.0,1,0.0,0.0,-0.0,20.0,37.0,2.0,0.2152442
00-0027966,M.Ingram,NO,2022,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,6,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,12,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027966,M.Ingram,NO,2022,13,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027973,A.Dalton,NO,2022,4,20,28,236.0,1,0.0,2.0,9.0,311.0,56.0,11.0,6.534018
00-0027973,A.Dalton,NO,2022,5,16,24,187.0,1,1.0,1.0,6.0,183.0,107.0,8.0,0.0144955665
00-0027973,A.Dalton,NO,2022,6,17,32,162.0,1,0.0,1.0,7.0,237.0,65.0,10.0,3.3422487
00-0027973,A.Dalton,NO,2022,7,30,47,361.0,4,3.0,0.0,-0.0,377.0,187.0,15.0,-1.3456372
00-0027973,A.Dalton,NO,2022,8,22,30,229.0,2,0.0,0.0,-0.0,174.0,120.0,12.0,9.861516
00-0027973,A.Dalton,NO,2022,9,19,29,210.0,1,1.0,4.0,28.0,198.0,95.0,9.0,-4.556197
00-0027973,A.Dalton,NO,2022,10,17,27,174.0,1,2.0,2.0,17.0,266.0,46.0,8.0,-1.4114023
00-0027973,A.Dalton,NO,2022,11,21,25,260.0,3,0.0,3.0,32.0,186.0,114.0,13.0,10.676714
00-0027973,A.Dalton,NO,2022,12,18,29,204.0,0,0.0,1.0,7.0,216.0,92.0,8.0,0.33072028
00-0027973,A.Dalton,NO,2022,13,20,28,229.0,1,0.0,2.0,18.0,198.0,104.0,11.0,3.6552236
00-0027973,A.Dalton,NO,2022,15,11,17,151.0,2,0.0,2.0,17.0,157.0,61.0,9.0,5.6197834
00-0027973,A.Dalton,NO,2022,16,8,15,92.0,0,1.0,0.0,-0.0,110.0,68.0,5.0,-5.012543
00-0027973,A.Dalton,NO,2022,17,18,22,205.0,0,1.0,6.0,38.0,133.0,107.0,9.0,-4.766653
00-0027973,A.Dalton,NO,2022,18,15,25,171.0,1,0.0,1.0,10.0,235.0,96.0,7.0,-4.951688
00-0027981,K.Rudolph,TB,2022,3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027981,K.Rudolph,TB,2022,5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027981,K.Rudolph,TB,2022,7,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027981,K.Rudolph,TB,2022,8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
00-0027981,K.Rudolph,TB,2022,18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
